,_id,barcode,category,name,topBrand,brandCode,cpg.$ref,cpg.$id.$oid
154,55b630fde4b0d8e685c14223,511111502586,,Diet Dr. Pepper,,,Cogs,55b62995e4b0d8e685c14213
155,5ab158e8e4b0915382df7622,511111404446,Canned Goods & Soups,Campbell's Well Yes!,0.0,CAMPBELLS WELL YES,Cogs,5a734034e4b0d58f376be874
156,5fcda494be37ce688e08b0cf,511111717966,Baking,test brand @1607312532304,0.0,TEST BRANDCODE @1607312532304,Cogs,5fcda494be37ce688e08b0cb
157,5f3ff222be37ce1c81aa1e0e,511111215615,Baking,test brand @1598026274643,,TEST BRANDCODE @1598026274643,Cogs,5f3ff222be37ce1c81aa1e0c
158,5f772952be37ce6b592e90d2,511111816775,Baking,test brand @1601644881995,,TEST BRANDCODE @1601644881995,Cogs,5f772951be37ce6b592e90d1
159,5fa1c568be37ce402c4618f6,511111717249,Baking,test brand @1604437352935,0.0,,Cogs,5fa1c568be37ce402c4618f5
160,5fb82236be37ce522e165cdf,511111217749,,Beef Steak,0.0,BEEF STEAK,Cogs,5fb6b608be37ce522e165cb9
161,5a02188be4b00d6a5ccb394d,511111300588,Beauty,POND'S,0.0,POND'S,Cogs,5332f5f6e4b03c9a25efd0b4
162,5e387617ee7f2d697e835bd0,511111713937,Beauty,L’Oreal Paris - Cosmetics,,L’OREAL PARIS - COSMETICS,Cogs,5e28b81cee7f2d697e835bcd
163,57ebc2ace4b0ac389136a346,511111801962,Deli,P3,0.0,,Cogs,559c2234e4b06aca36af13c6
164,5da6094ca60b87376833e357,511111605829,Health & Wellness,ONE A DAY® MENS,,511111605829,Cogs,53e10d6368abd3c7065097cc
165,5f16f536be37ce2b30061e28,511111615095,Baking,test brand @1595340086078,,TEST BRANDCODE @1595340086078,Cogs,5f16f535be37ce2b30061e24
166,5f872b84be37ce66db5dd97a,511111917045,Candy & Sweets,test brand @1602694020787,,TEST BRANDCODE @1602694020787,Cogs,5332fa12e4b03c9a25efd1e7
167,585a9726e4b03e62d1ce0e95,511111501497,Beverages,Tazo,,,Cogs,53e10d6368abd3c7065097cc
168,5f7ba645be37ce23081c528d,511111516910,Baking,test brand @1601939013649,,TEST BRANDCODE @1601939013649,Cogs,5f7ba644be37ce23081c5289
169,5332f7d3e4b03c9a25efd14e,511111803393,Snacks,Cheez-It,,,Cpgs,5332f5f2e4b03c9a25efd0aa
170,5f504acabe37ce0b793c9418,511111316480,Baking,test brand @1599097546963,,,Cogs,5f504acabe37ce0b793c9417
171,5afda3a8e4b03bf01c2a2967,511111604525,Snacks,Snack Factory,0.0,SNACK FACTORY,Cogs,5a734034e4b0d58f376be874
172,57c08294e4b0718ff5fcb039,511111202448,,Jupiler,,,Cpgs,5332f7a7e4b03c9a25efd134
173,5332f77ce4b03c9a25efd12a,511111703617,,Gardetto's,,,Cpgs,5332f5f3e4b03c9a25efd0ae
174,5332f9ede4b03c9a25efd1c2,511111403289,,Danimals,,,Cpgs,5332f7ffe4b03c9a25efd16b
175,58861c7e4e8d0d20bc42c4e2,511111201403,Beer Wine Spirits,Miller 64,0.0,MILLER64,Cogs,5332f709e4b03c9a25efd0f1
176,592486bee410d61fcea3d12d,511111700814,Dairy,I CAN'T BELIEVE IT'S NOT BUTTER!,,I CAN'T BELIEVE IT'S NOT BUTTER!,Cogs,53e10d6368abd3c7065097cc
177,5da608dfa60b87376833e354,511111805786,Health & Wellness,ONE A DAY® ENERGY ,,511111805786,Cogs,53e10d6368abd3c7065097cc
178,5ffe3a87be37ce7aab2d4fd9,511111419532,Candy & Sweets,test brand @1610496647142,0.0,TEST BRANDCODE @1610496647142,Cogs,5332fa12e4b03c9a25efd1e7
179,5ffe3a87be37ce7aab2d4fdb,511111619543,Baking,test brand @1610496647311,0.0,,Cogs,5ffe3a87be37ce7aab2d4fda
180,5ffe3a86be37ce7aab2d4fd7,511111719519,Baking,test brand @1610496646289,0.0,TEST BRANDCODE @1610496646289,Cogs,5ffe3a85be37ce7aab2d4fd4
181,5fff3a7abe37ce2bb793010e,511111119555,Baking,test brand @1610562170795,0.0,,Cogs,5fff3a7abe37ce2bb793010d
182,5ffe3a86be37ce7aab2d4fd8,511111919520,Baking,test brand @1610496646345,0.0,TEST BRANDCODE @1610496646345,Cogs,5ffe3a85be37ce7aab2d4fd4
183,5ffe3a86be37ce7aab2d4fd6,511111219507,Baking,test brand @1610496646232,0.0,TEST BRANDCODE @1610496646232,Cogs,5ffe3a85be37ce7aab2d4fd4
184,5ffe35eabe37ce5e01754c47,511111219385,Baking,test brand @1610495466218,0.0,TEST BRANDCODE @1610495466218,Cogs,5ffe35eabe37ce5e01754c45
185,5ffe347ebe37ce5e01754c3f,511111119326,Baking,test brand @1610495102462,0.0,TEST BRANDCODE @1610495102462,Cogs,5ffe347ebe37ce5e01754c3d
186,5ffe35eabe37ce5e01754c48,511111719397,Baking,test brand @1610495466250,0.0,TEST BRANDCODE @1610495466250,Cogs,5ffe35eabe37ce5e01754c45
187,57ebc28be4b0ac389136a344,511111501985,Condiments & Sauces,Miracle Whip,0.0,KRAFT MIRACLE WHIP,Cogs,559c2234e4b06aca36af13c6
188,58b59989e4b0857c2ddb7255,511111400998,Beer Wine Spirits,Redd's Wicked,0.0,,Cogs,5332f709e4b03c9a25efd0f1
189,5f403232be37ce5f78d9ed19,511111015697,Candy & Sweets,test brand @1598042674173,,TEST BRANDCODE @1598042674173,Cogs,5332fa12e4b03c9a25efd1e7
190,5f493e72be37ce64d0ae36c4,511111216094,Baking,test brand @1598635634796,,TEST BRANDCODE @1598635634796,Cogs,5f493e72be37ce64d0ae36c2
191,5a5d257fe4b06ba572cf24a3,511111300212,Beer Wine Spirits,Sheaf Stout,,SHEAF STOUT,Cogs,5332f709e4b03c9a25efd0f1
192,585a963ce4b03e62d1ce0e78,511111001768,Snacks,Cheetos,1.0,CHEETOS,Cogs,5332f5fbe4b03c9a25efd0ba
193,5fb82a68be37ce522e165ce6,511111217817,Grocery,Nature's Harvest,0.0,NATURES HARVEST,Cogs,5fb6b608be37ce522e165cb9
194,5d6415d5a3a018514994f429,511111605058,Magazines,Health Magazine,,511111605058,Cogs,5d5d4fd16d5f3b23d1bc7905
195,5332fa7ae4b03c9a25efd229,511111402961,,Fanta,,,Cpgs,5332f5ebe4b03c9a25efd0a8
196,5f494c5e04db711dd8fe87e4,511111216148,Baking,test brand @1598639198570,,TEST BRANDCODE @1598639198570,Cogs,5f494c5d04db711dd8fe87e2
197,5f772951be37ce6b592e90d0,511111316763,Baking,test brand @1601644881253,,,Cogs,5f772951be37ce6b592e90cf
198,5f504ac2be37ce0b793c9415,511111616467,Baking,test brand @1599097538609,,TEST BRANDCODE @1599097538609,Cogs,5f504ac2be37ce0b793c9411
199,5bd201cc965c7d66d92731ee,511111704706,Household,Scott,0.0,SCOTT,Cogs,550b2565e4b001d5e9e4146f
200,5fd2a0bfbe37ce49eb72c0f1,511111218135,Baking,test brand @1607639231674,0.0,TEST BRANDCODE @1607639231674,Cogs,5fd2a0bfbe37ce49eb72c0ef
201,5daf3507a60b87376833e35c,511111505921,Health & Wellness,EPIC™,,EPIC,Cogs,5332f5f3e4b03c9a25efd0ae
202,58861c7e4e8d0d20bc42c4de,511111901426,Beer Wine Spirits,Grolsch Lager,0.0,GROLSCH,Cogs,5332f709e4b03c9a25efd0f1
203,5f9770c0be37ce03d08a2d88,511111417101,Candy & Sweets,test brand @1603760320407,,TEST BRANDCODE @1603760320407,Cogs,5332fa12e4b03c9a25efd1e7
204,5a5e32c3e4b06ba572cf24aa,511111400042,Beer Wine Spirits,Magnum,,MAGNUM,Cogs,5332f709e4b03c9a25efd0f1
205,5f99f71bbe37ce13da9eade9,511111817147,Baking,test brand @1603925787411,,TEST BRANDCODE @1603925787411,Cogs,5f99f71bbe37ce13da9eade6
206,5ffe35eabe37ce5e01754c4a,511111819417,Candy & Sweets,test brand @1610495466861,0.0,TEST BRANDCODE @1610495466861,Cogs,5332fa12e4b03c9a25efd1e7
207,5ffe3682be37ce5e01754c55,511111519430,Baking,test brand @1610495618015,0.0,,Cogs,5ffe3681be37ce5e01754c54
208,5ffe347ebe37ce5e01754c41,511111819349,Baking,test brand @1610495102526,0.0,TEST BRANDCODE @1610495102526,Cogs,5ffe347ebe37ce5e01754c3d
209,5ffe347ebe37ce5e01754c40,511111619338,Baking,test brand @1610495102491,0.0,TEST BRANDCODE @1610495102491,Cogs,5ffe347ebe37ce5e01754c3d
210,5ffe3480be37ce5e01754c44,511111519362,Baking,test brand @1610495104441,0.0,,Cogs,5ffe3480be37ce5e01754c43
211,5ffe35eabe37ce5e01754c46,511111019374,Baking,test brand @1610495466174,0.0,TEST BRANDCODE @1610495466175,Cogs,5ffe35eabe37ce5e01754c45
212,5ffe35f9be37ce5e01754c4c,511111019428,Baking,test brand @1610495481412,0.0,,Cogs,5ffe35f9be37ce5e01754c4b
213,5ffe347fbe37ce5e01754c42,511111319351,Candy & Sweets,test brand @1610495103255,0.0,TEST BRANDCODE @1610495103255,Cogs,5332fa12e4b03c9a25efd1e7
214,5ffe35eabe37ce5e01754c49,511111319405,Baking,test brand @1610495466285,0.0,TEST BRANDCODE @1610495466285,Cogs,5ffe35eabe37ce5e01754c45
215,5ff768e3be37ce1e961f32a0,511111118886,Baking,test brand @1610049763071,0.0,,Cogs,5ff768e3be37ce1e961f329f
216,5ff768d4be37ce1e961f329b,511111718840,Baking,test brand @1610049748118,0.0,TEST BRANDCODE @1610049748118,Cogs,5ff768d4be37ce1e961f3299
217,5ff768d4be37ce1e961f329d,511111418863,Baking,test brand @1610049748181,0.0,TEST BRANDCODE @1610049748181,Cogs,5ff768d4be37ce1e961f3299
218,5ff768d4be37ce1e961f329c,511111218852,Baking,test brand @1610049748154,0.0,TEST BRANDCODE @1610049748154,Cogs,5ff768d4be37ce1e961f3299
219,5ff768d4be37ce1e961f329e,511111918875,Candy & Sweets,test brand @1610049748724,0.0,TEST BRANDCODE @1610049748724,Cogs,5332fa12e4b03c9a25efd1e7
220,5ff77857be37ce58ce50083a,511111618898,Baking,test brand @1610053719706,0.0,TEST BRANDCODE @1610053719707,Cogs,5ff77857be37ce58ce500839
221,5fd7f2b3be37ce733975586c,511111518327,Baking,test brand @1607987891932,0.0,TEST BRANDCODE @1607987891932,Cogs,5fd7f2b3be37ce7339755868
222,5fd7f2b3be37ce733975586b,511111318316,Baking,test brand @1607987891893,0.0,TEST BRANDCODE @1607987891893,Cogs,5fd7f2b3be37ce7339755868
